pid,bl,tr,trial,condition,acc,drt
2,49,3,1037,incongruent,1,11
2,49,8,1042,congruent,1,7
2,49,9,1043,incongruent,1,10
2,49,18,1052,congruent,1,7
2,50,1,1057,blank,1,12
2,50,2,1058,blank,1,10
2,50,3,1059,blank,1,11
2,50,4,1060,blank,1,11
2,50,5,1061,blank,1,9
2,50,6,1062,blank,1,11
2,50,7,1063,blank,1,10
2,50,8,1064,blank,1,9
2,50,9,1065,blank,1,9
2,50,10,1066,blank,1,9
2,50,11,1067,blank,0,9
2,50,12,1068,blank,1,11
2,50,13,1069,blank,1,13
2,50,14,1070,blank,1,9
2,50,15,1071,blank,1,10
2,50,16,1072,blank,1,11
2,50,17,1073,blank,1,10
2,50,18,1074,blank,1,12
2,50,19,1075,blank,1,15
2,50,20,1076,blank,1,10
2,50,21,1077,blank,1,11
2,50,22,1078,blank,1,9
2,51,4,1082,incongruent,1,12
2,51,17,1095,incongruent,1,11
2,51,20,1098,congruent,1,7
2,51,22,1100,congruent,1,10
2,52,2,1102,congruent,1,6
2,52,3,1103,congruent,1,7
2,52,5,1105,incongruent,0,5
2,52,22,1122,incongruent,1,11
2,53,9,1131,incongruent,1,11
2,53,14,1136,incongruent,1,12
2,53,17,1139,congruent,1,11
2,53,22,1144,congruent,1,10
2,54,6,1150,congruent,1,10
2,54,18,1162,congruent,1,10
2,54,19,1163,incongruent,1,11
2,54,21,1165,incongruent,1,10
2,55,2,1168,incongruent,1,12
2,55,3,1169,congruent,1,11
2,55,18,1184,incongruent,1,13
2,55,21,1187,congruent,1,11
2,56,8,1196,congruent,1,9
2,56,13,1201,incongruent,1,10
2,56,17,1205,incongruent,1,10
2,56,20,1208,congruent,1,9
2,57,1,1211,blank,1,13
2,57,2,1212,blank,1,9
2,57,3,1213,blank,1,11
2,57,4,1214,blank,1,10
2,57,5,1215,blank,1,9
2,57,6,1216,blank,1,14
2,57,7,1217,blank,1,10
2,57,8,1218,blank,1,11
2,57,9,1219,blank,1,8
2,57,10,1220,blank,1,8
2,57,11,1221,blank,1,9
2,57,12,1222,blank,1,11
2,57,13,1223,blank,1,9
2,57,14,1224,blank,1,9
2,57,15,1225,blank,1,11
2,57,16,1226,blank,1,10
2,57,17,1227,blank,1,10
2,57,18,1228,blank,1,10
2,57,19,1229,blank,1,10
2,57,20,1230,blank,1,9
2,57,21,1231,blank,0,9
2,57,22,1232,blank,1,10
2,58,9,1241,incongruent,1,10
2,58,10,1242,congruent,1,9
2,58,15,1247,congruent,1,10
2,58,20,1252,incongruent,1,10
2,59,12,1266,incongruent,1,11
2,59,13,1267,congruent,1,10
2,59,14,1268,congruent,1,11
2,59,15,1269,incongruent,1,14
2,60,1,1277,incongruent,1,11
2,60,3,1279,incongruent,1,10
2,60,9,1285,congruent,1,11
2,60,10,1286,congruent,1,8
2,61,2,1300,congruent,1,7
2,61,8,1306,incongruent,1,9
2,61,20,1318,incongruent,1,10
2,61,22,1320,congruent,1,7
2,62,12,1332,congruent,1,9
2,62,16,1336,congruent,1,10
2,62,21,1341,incongruent,0,5
2,62,22,1342,incongruent,1,13
2,63,2,1344,congruent,1,10
2,63,8,1350,congruent,1,10
2,63,11,1353,incongruent,0,6
2,63,18,1360,incongruent,1,11
2,64,1,1365,blank,1,15
2,64,2,1366,blank,1,10
2,64,3,1367,blank,1,10
2,64,4,1368,blank,1,9
2,64,5,1369,blank,1,9
2,64,6,1370,blank,1,10
2,64,7,1371,blank,1,9
2,64,8,1372,blank,1,10
2,64,9,1373,blank,1,9
2,64,10,1374,blank,1,8
2,64,11,1375,blank,1,9
2,64,12,1376,blank,1,9
2,64,13,1377,blank,1,10
2,64,14,1378,blank,1,9
2,64,15,1379,blank,1,12
2,64,16,1380,blank,1,10
2,64,17,1381,blank,1,9
2,64,18,1382,blank,1,9
2,64,19,1383,blank,1,9
