vp,bl,tr,prime_type,resp,respac,rt,TrialNr
2,11,12,1,2,1,164,210
2,11,16,1,1,1,253,214
2,12,12,2,2,1,442,232
2,12,15,1,1,1,225,235
2,12,18,2,1,1,466,238
2,12,19,1,2,1,415,239
2,13,9,2,1,0,579,251
2,13,10,1,2,1,402,252
2,13,11,2,1,1,700,253
2,13,18,1,1,1,374,260
2,14,2,1,2,1,273,266
2,14,7,1,2,0,261,271
2,14,13,2,2,0,671,277
2,14,20,2,2,1,529,284
2,15,1,0,2,1,407,287
2,15,2,0,2,1,412,288
2,15,3,0,2,1,307,289
2,15,4,0,2,0,315,290
2,15,5,0,1,1,389,291
2,15,6,0,2,1,367,292
2,15,7,0,2,1,316,293
2,15,8,0,2,0,322,294
2,15,9,0,1,1,366,295
2,15,10,0,1,1,346,296
2,15,11,0,1,1,344,297
2,15,12,0,1,1,338,298
2,15,13,0,2,1,394,299
2,15,14,0,2,1,392,300
2,15,15,0,1,1,349,301
2,15,16,0,1,1,371,302
2,15,17,0,2,1,360,303
2,15,18,0,2,1,429,304
2,15,19,0,1,1,426,305
2,15,20,0,2,1,362,306
2,15,21,0,2,1,380,307
2,15,22,0,1,1,330,308
2,16,5,2,1,1,307,313
2,16,11,1,1,1,435,319
2,16,14,2,2,1,515,322
2,16,22,1,2,1,413,330
2,17,1,1,2,1,392,331
2,17,6,2,1,1,430,336
2,17,12,1,1,1,413,342
2,17,22,2,2,1,423,352
2,18,10,2,1,1,405,362
2,18,16,1,1,1,461,368
2,18,18,1,2,1,410,370
2,18,19,2,2,1,423,371
2,19,5,1,2,1,314,379
2,19,7,2,1,1,365,381
2,19,12,2,2,1,510,386
2,19,21,1,1,1,365,395
2,20,6,2,1,0,226,402
2,20,7,2,1,1,726,403
2,20,10,1,1,1,469,406
2,20,16,1,2,1,277,412
2,21,2,2,2,1,489,420
2,21,4,2,1,1,468,422
2,21,9,1,2,1,454,427
2,21,21,1,1,1,362,439
2,22,1,0,2,1,399,441
2,22,2,0,2,1,354,442
2,22,3,0,2,0,337,443
2,22,4,0,1,1,372,444
2,22,5,0,1,1,378,445
2,22,6,0,1,1,384,446
2,22,7,0,2,1,400,447
2,22,8,0,1,1,330,448
2,22,9,0,2,1,352,449
2,22,10,0,1,1,388,450
2,22,11,0,1,1,321,451
2,22,12,0,2,0,307,452
2,22,13,0,2,1,386,453
2,22,14,0,2,1,401,454
2,22,15,0,1,1,367,455
2,22,16,0,2,1,346,456
2,22,17,0,1,1,287,457
2,22,18,0,2,1,348,458
2,22,19,0,1,1,354,459
2,22,20,0,2,1,343,460
2,22,21,0,2,1,444,461
2,22,22,0,2,1,354,462
2,23,2,2,1,1,488,464
2,23,7,1,2,1,448,469
2,23,12,2,2,1,429,474
2,23,15,1,1,1,413,477
2,24,2,2,1,1,535,486
2,24,4,1,1,1,459,488
2,24,10,2,2,1,449,494
2,24,20,1,2,1,326,504
2,25,7,2,2,0,571,513
2,25,11,1,1,1,414,517
2,25,18,2,2,1,395,524
2,25,19,1,2,1,280,525
2,26,8,2,2,1,506,536
2,26,9,1,1,1,392,537
2,26,14,2,1,1,458,542
2,26,17,1,2,1,346,545
2,27,2,1,1,1,394,552
2,27,6,2,2,1,375,556
2,27,9,1,2,1,335,559
2,27,14,2,2,0,561,564
2,28,4,2,1,1,519,576
2,28,6,1,2,1,317,578
2,28,7,1,1,1,398,579
2,28,21,2,2,1,441,593
2,29,1,0,1,1,454,595
2,29,2,0,1,1,420,596
2,29,3,0,2,1,383,597
2,29,4,0,2,1,326,598
2,29,5,0,2,1,308,599
2,29,6,0,1,1,480,600
2,29,7,0,1,1,422,601
2,29,8,0,1,1,412,602
2,29,9,0,2,1,441,603
2,29,10,0,1,1,382,604
2,29,11,0,1,1,431,605
2,29,12,0,2,1,345,606
2,29,13,0,1,1,357,607
2,29,14,0,2,1,419,608
2,29,15,0,1,1,352,609
2,29,16,0,1,1,379,610
2,29,17,0,2,1,379,611
2,29,18,0,2,1,394,612
2,29,19,0,2,1,374,613
2,29,20,0,1,1,443,614
2,29,21,0,2,1,385,615
2,29,22,0,2,1,438,616
2,30,7,2,1,1,392,623
2,30,10,1,2,1,376,626
2,30,11,2,2,1,446,627
2,30,21,1,1,1,424,637
2,31,4,1,2,1,393,642
2,31,8,2,2,1,534,646
2,31,12,1,1,1,499,650
2,31,13,2,1,1,496,651
2,32,1,1,1,1,553,661
2,32,13,2,2,1,396,673
2,32,20,1,2,1,368,680
2,32,22,2,1,1,582,682
2,33,5,1,2,1,446,687
2,33,8,2,1,1,422,690
2,33,18,1,1,1,411,700
2,33,21,2,2,1,381,703
2,34,1,1,2,1,335,705
2,34,2,2,1,1,453,706
2,34,13,1,1,1,399,717
2,34,21,2,2,1,494,725
2,35,2,1,1,1,224,728
2,35,8,1,2,1,311,734
2,35,15,2,2,1,420,741
2,35,16,2,1,1,488,742
2,36,1,0,1,1,396,749
2,36,2,0,2,1,364,750
2,36,3,0,2,1,367,751
2,36,4,0,2,1,348,752
2,36,5,0,1,1,449,753
2,36,6,0,2,1,349,754
2,36,7,0,2,1,387,755
2,36,8,0,1,1,441,756
2,36,9,0,2,1,326,757
2,36,10,0,1,1,331,758
2,36,11,0,2,1,362,759
2,36,12,0,2,1,395,760
2,36,13,0,2,1,323,761
2,36,14,0,2,1,344,762
2,36,15,0,1,1,375,763
2,36,16,0,1,1,443,764
2,36,17,0,1,1,371,765
2,36,18,0,2,1,390,766
2,36,19,0,1,1,369,767
2,36,20,0,1,1,328,768
2,36,21,0,1,1,342,769
2,36,22,0,1,1,323,770
2,37,2,1,1,1,244,772
2,37,6,1,2,1,364,776
2,37,7,2,1,1,398,777
2,37,11,2,2,1,412,781
2,38,6,2,2,1,398,798
2,38,9,1,2,1,438,801
2,38,11,2,1,1,391,803
2,38,13,1,1,1,341,805
2,39,1,1,2,1,294,815
2,39,4,2,2,1,379,818
2,39,5,1,1,1,419,819
2,39,10,2,1,1,406,824
2,40,5,1,2,1,296,841
2,40,8,2,1,1,408,844
2,40,13,1,1,1,338,849
2,40,14,2,2,1,447,850
2,41,12,1,1,1,420,870
2,41,14,2,1,1,358,872
2,41,15,2,2,1,373,873
2,41,16,1,2,1,409,874
2,42,11,2,1,1,532,891
2,42,16,1,2,1,267,896
2,42,17,2,2,1,429,897
2,42,22,1,1,1,387,902
2,43,1,0,2,1,406,903
2,43,2,0,2,1,450,904
2,43,3,0,1,1,387,905
2,43,4,0,1,1,389,906
2,43,5,0,2,1,410,907
2,43,6,0,2,1,368,908
2,43,7,0,1,1,378,909
2,43,8,0,2,1,395,910
2,43,9,0,2,1,383,911
2,43,10,0,2,1,333,912
2,43,11,0,1,1,401,913
2,43,12,0,2,1,384,914
2,43,13,0,1,1,333,915
2,43,14,0,1,1,386,916
2,43,15,0,2,1,383,917
2,43,16,0,2,1,415,918
2,43,17,0,1,1,364,919
2,43,18,0,1,1,360,920
2,43,19,0,1,1,357,921
2,43,20,0,2,1,373,922
2,43,21,0,1,1,319,923
2,43,22,0,1,1,317,924
2,44,2,2,2,1,422,926
2,44,4,2,1,1,388,928
2,44,12,1,2,1,418,936
2,44,19,1,1,1,459,943
2,45,4,1,1,1,416,950
2,45,12,2,2,1,441,958
2,45,13,1,2,1,422,959
2,45,17,2,1,1,463,963
2,46,6,2,2,1,494,974
2,46,7,1,2,1,452,975
2,46,8,1,1,1,424,976
2,46,22,2,1,1,403,990
2,47,4,1,2,1,283,994
2,47,6,1,1,1,405,996
2,47,8,2,2,1,448,998
2,47,19,2,1,1,458,1009
2,48,1,2,1,1,413,1013
2,48,5,2,2,1,401,1017
2,48,7,1,2,1,436,1019
2,48,12,1,1,1,396,1024
2,49,3,2,1,1,423,1037
2,49,8,1,2,1,271,1042
2,49,9,2,2,1,391,1043
2,49,18,1,1,1,245,1052
2,50,1,0,2,1,465,1057
2,50,2,0,1,1,383,1058
2,50,3,0,1,1,435,1059
2,50,4,0,2,1,416,1060
2,50,5,0,1,1,334,1061
2,50,6,0,1,1,419,1062
2,50,7,0,2,1,392,1063
2,50,8,0,2,1,359,1064
2,50,9,0,2,1,347,1065
2,50,10,0,2,1,339,1066
2,50,11,0,2,0,342,1067
2,50,12,0,2,1,440,1068
2,50,13,0,1,1,486,1069
2,50,14,0,1,1,347,1070
2,50,15,0,1,1,392,1071
2,50,16,0,1,1,414,1072
2,50,17,0,1,1,364,1073
2,50,18,0,2,1,448,1074
2,50,19,0,2,1,565,1075
2,50,20,0,2,1,386,1076
2,50,21,0,1,1,423,1077
2,50,22,0,2,1,358,1078
2,51,4,2,2,1,441,1082
2,51,17,2,1,1,418,1095
2,51,20,1,2,1,243,1098
2,51,22,1,1,1,397,1100
2,52,2,1,1,1,217,1102
2,52,3,1,2,1,262,1103
2,52,5,2,1,0,193,1105
2,52,22,2,1,1,425,1122
2,53,9,2,2,1,405,1131
2,53,14,2,1,1,459,1136
2,53,17,1,2,1,423,1139
2,53,22,1,1,1,370,1144
2,54,6,1,2,1,400,1150
2,54,18,1,1,1,368,1162
2,54,19,2,2,1,437,1163
2,54,21,2,1,1,395,1165
2,55,2,2,1,1,454,1168
2,55,3,1,2,1,404,1169
2,55,18,2,2,1,491,1184
2,55,21,1,1,1,403,1187
2,56,8,1,1,1,344,1196
2,56,13,2,1,1,378,1201
2,56,17,2,2,1,396,1205
2,56,20,1,2,1,360,1208
2,57,1,0,2,1,512,1211
2,57,2,0,1,1,357,1212
2,57,3,0,2,1,410,1213
2,57,4,0,1,1,367,1214
2,57,5,0,2,1,341,1215
2,57,6,0,1,1,523,1216
2,57,7,0,2,1,396,1217
2,57,8,0,1,1,421,1218
2,57,9,0,2,1,314,1219
2,57,10,0,1,1,311,1220
2,57,11,0,1,1,340,1221
2,57,12,0,2,1,434,1222
2,57,13,0,1,1,335,1223
2,57,14,0,2,1,341,1224
2,57,15,0,2,1,410,1225
2,57,16,0,1,1,391,1226
2,57,17,0,1,1,364,1227
2,57,18,0,2,1,363,1228
2,57,19,0,1,1,375,1229
2,57,20,0,1,1,333,1230
2,57,21,0,1,0,329,1231
2,57,22,0,2,1,380,1232
2,58,9,2,2,1,366,1241
2,58,10,1,2,1,348,1242
2,58,15,1,1,1,366,1247
2,58,20,2,1,1,396,1252
2,59,12,2,2,1,419,1266
2,59,13,1,1,1,382,1267
2,59,14,1,2,1,431,1268
2,59,15,2,1,1,560,1269
2,60,1,2,1,1,402,1277
2,60,3,2,2,1,396,1279
2,60,9,1,1,1,403,1285
2,60,10,1,2,1,304,1286
2,61,2,1,2,1,244,1300
2,61,8,2,2,1,357,1306
2,61,20,2,1,1,383,1318
2,61,22,1,1,1,260,1320
2,62,12,1,2,1,358,1332
2,62,16,1,1,1,380,1336
2,62,21,2,2,0,189,1341
2,62,22,2,2,1,512,1342
2,63,2,1,1,1,365,1344
2,63,8,1,2,1,366,1350
2,63,11,2,1,0,236,1353
2,63,18,2,1,1,423,1360
